Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,17.76735459662289,1200.8499554898333,0.1627923,0.03383458646616541,0.03383458646616541,1.0
20000,1.4189383,18.135755258126196,1204.0921743608687,0.16351828,0.036328871892925434,0.036328871892925434,1.0
30000,1.4207362,18.30888030888031,1200.1808335714588,0.036679037,-0.04633204633204633,-0.04633204633204633,1.0
40000,1.4208467,18.036190476190477,1199.722480402016,0.069904074,0.017142857142857144,0.017142857142857144,1.0
50000,1.4212403,18.011406844106464,1201.9448300835334,0.0875596,0.030418250950570342,0.030418250950570342,1.0
60000,1.4219198,18.022770398481974,1205.3675144530862,0.09792672,0.057034220532319393,0.057034220532319393,1.0
70000,1.421813,18.293436293436294,1216.9161008345634,0.07330655,0.05405405405405406,0.05405405405405406,1.0
80000,1.4220283,18.155172413793103,1211.7445357760025,0.021107797,0.0,0.0,1.0
90000,1.4220932,18.0,1213.5109619320099,0.061845873,0.06844106463878327,0.06844106463878327,1.0
100000,1.4231007,18.255769230769232,1211.0212373896982,0.019788936,0.026923076923076925,0.026923076923076925,1.0
110000,1.4238901,17.873584905660376,1203.262439439716,-0.009260022,-0.011320754716981131,-0.011320754716981131,1.0
120000,1.4238828,18.166986564299425,1201.5192399535251,-0.018262567,-0.0019193857965451055,-0.0019193857965451055,1.0
130000,1.424973,18.29287090558767,1199.7972133526278,0.027006788,0.04046242774566474,0.04046242774566474,1.0
140000,1.4250354,18.374031007751938,1200.2512988862975,0.013254472,0.046511627906976744,0.046511627906976744,1.0
150000,1.4246678,18.359767891682786,1204.1746955283127,0.034644302,0.05222437137330754,0.05222437137330754,1.0
160000,1.4244539,18.322393822393824,1208.2475087871724,0.04787196,0.0367504835589942,0.0367504835589942,1.0
170000,1.4247253,18.344961240310077,1209.8907900899057,0.010057713,0.0019342359767891683,0.0019342359767891683,1.0
180000,1.4242522,18.25,1203.9927222657193,-0.03794169,-0.038461538461538464,-0.038461538461538464,1.0
190000,1.423405,18.521484375,1203.152045441478,0.018444646,0.01171875,0.01171875,1.0
200000,1.4248025,18.48249027237354,1200.5485337412774,0.021656727,0.0038910505836575876,0.0038910505836575876,1.0
210000,1.4249072,18.23121387283237,1203.2817536874097,-0.0019428652,-0.02119460500963391,-0.02119460500963391,1.0
220000,1.425319,18.254335260115607,1202.5509165388264,0.019085236,0.01348747591522158,0.01348747591522158,1.0
230000,1.4258795,18.803960396039603,1197.66759005916,-0.039748646,-0.06534653465346535,-0.06534653465346535,1.0
240000,1.4259719,18.118546845124282,1197.3302207969089,0.030645074,0.04780114722753346,0.04780114722753346,1.0
250000,1.4259377,18.563600782778867,1202.359611465159,-0.015288312,-0.029354207436399216,-0.029354207436399216,1.0
260000,1.4245288,18.55859375,1208.0196420897219,0.045151956,0.04296875,0.04296875,1.0
270000,1.423445,18.62082514734774,1211.8727700900981,-0.0108914515,-0.025540275049115914,-0.025540275049115914,1.0
280000,1.4232173,18.365570599613154,1210.0580820766336,0.045084614,0.05222437137330754,0.05222437137330754,1.0
290000,1.4245139,18.8727634194831,1214.8129992165605,0.040473063,0.03777335984095427,0.03777335984095427,1.0
300000,1.4239527,18.84722222222222,1208.4687597236887,-0.043561656,-0.06746031746031746,-0.06746031746031746,1.0
310000,1.4238424,18.137667304015295,1200.4529966769974,0.012823973,0.011494252873563218,0.011494252873563218,1.0
320000,1.4234525,19.173737373737374,1212.006311486485,0.03427265,0.024193548387096774,0.024193548387096774,1.0
330000,1.4227676,18.906374501992033,1204.493053918423,-0.05873885,-0.08366533864541832,-0.08366533864541832,1.0
340000,1.4217823,19.054,1196.696196969967,-0.016200013,-0.006012024048096192,-0.006012024048096192,1.0
350000,1.4225998,18.733201581027668,1201.0077145012021,0.037793882,0.03747534516765286,0.03747534516765286,1.0
360000,1.4216329,18.858846918489064,1208.0867756807893,-0.031691235,-0.017892644135188866,-0.017892644135188866,1.0
370000,1.420333,19.508196721311474,1215.7197693840078,0.014712445,0.02459016393442623,0.02459016393442623,1.0
380000,1.4211992,19.891440501043842,1221.0053222862448,0.013529115,-0.010438413361169102,-0.010438413361169102,1.0
390000,1.4224755,18.934131736526947,1214.7220254825077,-0.010802175,0.021956087824351298,0.021956087824351298,1.0
400000,1.4208198,18.514619883040936,1217.735782447636,0.022490514,0.01364522417153996,0.01364522417153996,1.0
410000,1.4197143,18.98065764023211,1211.8779570552176,0.04069826,0.0536779324055666,0.0536779324055666,1.0
420000,1.4207623,19.614893617021277,1208.7827889266218,-0.011011416,-0.03305785123966942,-0.03305785123966942,1.0
430000,1.4223181,18.667976424361495,1212.717802890839,0.07820684,0.05905511811023622,0.05905511811023622,1.0
440000,1.4202483,19.221095334685597,1209.1102310977637,0.054368705,-0.012145748987854251,-0.012145748987854251,1.0
450000,1.4201344,19.835416666666667,1216.4856679740094,0.052604485,0.016666666666666666,0.016666666666666666,1.0
460000,1.4194093,20.259574468085106,1218.0245161050166,0.110841535,0.0851063829787234,0.0851063829787234,1.0
470000,1.4203231,19.482617586912067,1217.2310333910536,0.054211747,-0.004098360655737705,-0.004098360655737705,1.0
480000,1.419698,19.41922290388548,1214.3519402470026,0.0559258,0.0653061224489796,0.0653061224489796,1.0
490000,1.418495,20.222929936305732,1222.50473195914,0.081970766,0.04883227176220807,0.04883227176220807,1.0
500000,1.4175581,20.454935622317596,1218.6037142803814,0.030772919,0.04291845493562232,0.04291845493562232,1.0
510000,1.4173853,19.21818181818182,1221.860154659116,0.042436242,0.03434343434343434,0.03434343434343434,1.0
520000,1.4163029,19.66115702479339,1219.6439466912634,0.05991255,0.03305785123966942,0.03305785123966942,1.0
530000,1.4138197,19.872651356993735,1217.9014216578717,0.023984881,-0.03549060542797495,-0.03549060542797495,1.0
540000,1.414213,21.28285077951002,1224.2662494102678,0.050766464,0.060133630289532294,0.060133630289532294,1.0
550000,1.4151258,20.222929936305732,1241.7060636678232,0.12958516,0.15074309978768577,0.15074309978768577,1.0
560000,1.4114192,20.25531914893617,1243.9651836349094,0.009573054,-0.05106382978723404,-0.05106382978723404,1.0
570000,1.4156332,20.141649048625794,1241.8129161497698,0.075611085,0.09090909090909091,0.09090909090909091,1.0
580000,1.4130129,20.160676532769557,1243.3045878408404,0.05068783,0.040169133192389,0.040169133192389,1.0
590000,1.4096106,20.72234273318872,1243.870766483014,0.05848607,0.08026030368763558,0.08026030368763558,1.0
600000,1.4138094,20.35820895522388,1237.8380319601747,-0.01318426,-0.02564102564102564,-0.02564102564102564,1.0
610000,1.4122187,19.88935281837161,1228.8308873799617,0.040339842,0.05636743215031315,0.05636743215031315,1.0
620000,1.4122117,20.725490196078432,1237.0612607526452,0.0665352,0.09130434782608696,0.09130434782608696,1.0
630000,1.4098082,21.760820045558088,1240.8338085590553,0.035203803,0.03416856492027335,0.03416856492027335,1.0
640000,1.4090328,20.78213507625272,1240.9957023955947,-0.017555496,-0.06753812636165578,-0.06753812636165578,1.0
650000,1.411584,20.73913043478261,1253.516853909253,0.089845195,0.11739130434782609,0.11739130434782609,1.0
660000,1.4088339,20.978021978021978,1245.4644899607074,0.021723986,-0.015384615384615385,-0.015384615384615385,1.0
670000,1.4080179,20.88183807439825,1242.1290728609654,0.063034974,0.07221006564551423,0.07221006564551423,1.0
680000,1.4049428,21.584650112866818,1246.1316460706812,0.034162212,0.024830699774266364,0.024830699774266364,1.0
690000,1.4066628,21.22222222222222,1241.0803953151317,0.029707575,-0.03111111111111111,-0.03111111111111111,1.0
700000,1.4059504,20.91885964912281,1236.2160268535888,0.021500906,0.0043859649122807015,0.0043859649122807015,1.0
710000,1.401184,21.82004555808656,1234.9738488442044,-0.0026485273,-0.0387243735763098,-0.0387243735763098,1.0
720000,1.4028635,21.745454545454546,1239.2390033880383,0.06414565,0.05454545454545454,0.05454545454545454,1.0
730000,1.4033054,22.01152073732719,1247.320798538488,0.049806256,0.059907834101382486,0.059907834101382486,1.0
740000,1.4020988,21.197777777777777,1249.1309347182475,0.117975034,0.12444444444444444,0.12444444444444444,1.0
750000,1.4032209,21.297777777777778,1251.393207226976,0.14704959,0.1403118040089087,0.1403118040089087,1.0
760000,1.3993464,21.839816933638446,1249.2930599468352,0.03788629,-0.0045662100456621,-0.0045662100456621,1.0
770000,1.39583,22.20232558139535,1249.2843841123793,0.095619984,0.10697674418604651,0.10697674418604651,1.0
780000,1.4002386,22.433255269320842,1255.713640465469,0.1057188,0.11007025761124122,0.11007025761124122,1.0
790000,1.4011664,21.776765375854215,1258.5609598970284,0.10572327,0.1252847380410023,0.1252847380410023,1.0
800000,1.3907902,21.82420091324201,1260.8515785111274,0.033182755,-0.0091324200913242,-0.0091324200913242,1.0
810000,1.3919251,21.255555555555556,1263.6510498167468,0.09488673,0.06222222222222222,0.06222222222222222,1.0
820000,1.3891848,22.737819025522043,1262.4958684892517,0.076366246,0.023809523809523808,0.023809523809523808,1.0
830000,1.387715,22.90709046454768,1268.4732736054532,0.11961677,0.14761904761904762,0.14761904761904762,1.0
840000,1.3927855,22.28205128205128,1266.0973211696862,0.069275394,0.08158508158508158,0.08158508158508158,1.0
850000,1.3913068,22.345794392523363,1272.8837204939437,0.09575128,0.1542056074766355,0.1542056074766355,1.0
860000,1.3847716,22.692671394799053,1268.9049010446377,-0.0028166354,-0.002364066193853428,-0.002364066193853428,1.0
870000,1.3808911,22.971153846153847,1273.8617306029728,0.07895437,0.12980769230769232,0.12980769230769232,1.0
880000,1.3838425,22.985611510791365,1275.1738775519975,0.06044128,0.09352517985611511,0.09352517985611511,1.0
890000,1.3760523,22.835714285714285,1274.5036678309414,0.028125282,0.009523809523809525,0.009523809523809525,1.0
900000,1.3843145,22.55188679245283,1273.185190160943,0.0633954,0.07547169811320754,0.07547169811320754,1.0
910000,1.3802755,21.81776765375854,1277.5743196103754,0.062129986,0.07061503416856492,0.07061503416856492,1.0
920000,1.3805904,23.75,1269.5347557387722,0.01932173,-0.034653465346534656,-0.034653465346534656,1.0
930000,1.380215,22.62174940898345,1255.691347377388,-0.022224039,-0.04491725768321513,-0.04491725768321513,1.0
940000,1.3748637,23.502450980392158,1257.2995753390792,0.015046003,0.014705882352941176,0.014705882352941176,1.0
950000,1.3720449,22.80047505938242,1260.1549685481236,-0.01874021,-0.021377672209026127,-0.021377672209026127,1.0
960000,1.371963,23.403422982885086,1269.1366677568499,0.03225703,0.04156479217603912,0.04156479217603912,1.0
970000,1.3654327,24.43765903307888,1273.5254160259308,0.020387987,0.027989821882951654,0.027989821882951654,1.0
980000,1.3726016,23.733333333333334,1277.526883725966,0.01973801,0.04691358024691358,0.04691358024691358,1.0
990000,1.3745077,23.32846715328467,1288.2831558433918,0.1418077,0.25547445255474455,0.25547445255474455,1.0
1000000,1.3789494,22.291375291375292,1297.056593234764,0.054001734,0.0675990675990676,0.0675990675990676,1.0
1010000,1.3670042,23.603448275862068,1290.5367604460928,0.06664243,0.019704433497536946,0.019704433497536946,1.0
1020000,1.3732543,22.92105263157895,1285.809035026286,0.08483167,0.019138755980861243,0.019138755980861243,1.0
1030000,1.3712621,22.971291866028707,1280.394304883349,0.021118741,-0.019138755980861243,-0.019138755980861243,1.0
1040000,1.366726,23.803970223325063,1275.5481719051872,0.03501054,0.06467661691542288,0.06467661691542288,1.0
1050000,1.3661318,24.422391857506362,1278.076860769744,0.07824061,0.1116751269035533,0.1116751269035533,1.0
1060000,1.3652377,23.512254901960784,1282.2702506830158,0.066390276,0.03431372549019608,0.03431372549019608,1.0
1070000,1.3548777,24.082706766917294,1283.4269353471404,0.045581162,-0.012531328320802004,-0.012531328320802004,1.0
1080000,1.3535818,25.028645833333332,1284.3785100564585,0.025397027,-0.052083333333333336,-0.052083333333333336,1.0
1090000,1.3534235,24.522959183673468,1282.962205492095,0.0012948149,-0.04081632653061224,-0.04081632653061224,1.0
1100000,1.3589575,23.83622828784119,1272.6580901352288,0.01787313,0.01240694789081886,0.01240694789081886,1.0
1110000,1.3609113,23.340632603406327,1277.5859155664361,0.05518645,0.051094890510948905,0.051094890510948905,1.0
1120000,1.363956,24.448979591836736,1274.428638929606,-0.052095734,-0.05612244897959184,-0.05612244897959184,1.0
1130000,1.3604646,24.69922879177378,1268.9163976405716,-0.0024788727,-0.02313624678663239,-0.02313624678663239,1.0
1140000,1.3617744,23.517156862745097,1273.3915463998126,0.09322159,0.11764705882352941,0.11764705882352941,1.0
1150000,1.3578547,24.914507772020727,1283.6037995381153,0.059174452,0.04145077720207254,0.04145077720207254,1.0
1160000,1.3587093,24.911917098445596,1280.7254591871938,0.0325854,0.031088082901554404,0.031088082901554404,1.0
1170000,1.3617849,24.15829145728643,1274.4032378975533,0.006028039,-0.04522613065326633,-0.04522613065326633,1.0
1180000,1.3583336,24.612820512820512,1274.2440389071949,0.078380175,0.11794871794871795,0.11794871794871795,1.0
1190000,1.3638064,24.745501285347043,1284.7100572218753,0.08873702,0.13110539845758354,0.13110539845758354,1.0
1200000,1.35123,25.03916449086162,1288.9264495238149,0.12929365,0.10704960835509138,0.10704960835509138,1.0
1210000,1.3560075,23.498777506112468,1289.2863821093708,0.09593118,0.061124694376528114,0.061124694376528114,1.0
1220000,1.353069,24.329113924050635,1288.4964856262197,0.049617164,-0.03291139240506329,-0.03291139240506329,1.0
1230000,1.3522518,25.950520833333332,1287.0765459779468,0.06014371,0.043243243243243246,0.043243243243243246,1.0
1240000,1.3514374,25.578512396694215,1289.7598904991,0.05117439,0.04509283819628647,0.04509283819628647,1.0
1250000,1.3480997,25.278947368421054,1286.463342714898,0.053850938,-0.02631578947368421,-0.02631578947368421,1.0
1260000,1.3431535,24.776349614395887,1278.3286869387475,0.011269542,0.02313624678663239,0.02313624678663239,1.0
1270000,1.345504,24.765463917525775,1280.5985183702892,0.030666672,0.030927835051546393,0.030927835051546393,1.0
1280000,1.3527857,23.945137157107233,1282.7426014182129,0.0145692425,0.05236907730673317,0.05236907730673317,1.0
1290000,1.3409592,24.82901554404145,1279.5786988440693,-0.012884787,-0.015544041450777202,-0.015544041450777202,1.0
1300000,1.3433427,26.65193370165746,1278.7646800890232,0.016454952,0.0055248618784530384,0.0055248618784530384,1.0
1310000,1.3428218,25.52785145888594,1286.7735988540387,0.034397397,0.04509283819628647,0.04509283819628647,1.0
1320000,1.3418655,26.10840108401084,1292.3150803727813,0.042644072,0.06521739130434782,0.06521739130434782,1.0
1330000,1.3433586,24.673521850899743,1285.0199050977799,0.00928234,-0.07692307692307693,-0.07692307692307693,1.0
1340000,1.3418831,25.688,1276.6712793730765,0.046321996,0.008,0.008,1.0
1350000,1.3394781,25.631299734748012,1277.7104406130334,-0.040577814,-0.13066666666666665,-0.13066666666666665,1.0
1360000,1.3414809,25.798387096774192,1280.2323904768496,0.06444068,0.12834224598930483,0.12834224598930483,1.0
1370000,1.3444098,25.20472440944882,1285.8036912136308,0.00776689,0.049868766404199474,0.049868766404199474,1.0
1380000,1.3409452,25.325459317585302,1281.4233358707402,-0.01997757,-0.049868766404199474,-0.049868766404199474,1.0
1390000,1.3417547,25.568,1275.2281009690755,0.019509241,0.013333333333333334,0.013333333333333334,1.0
1400000,1.342436,26.121951219512194,1279.5618476768175,-0.01938411,-0.056910569105691054,-0.056910569105691054,1.0
1410000,1.3418809,25.661333333333335,1277.5785513327594,-0.06559424,-0.07733333333333334,-0.07733333333333334,1.0
1420000,1.341748,26.165311653116532,1274.6477776783497,-0.0031222522,0.008130081300813009,0.008130081300813009,1.0
1430000,1.3385458,25.669333333333334,1280.357705669245,0.014398135,0.024,0.024,1.0
1440000,1.337031,25.85483870967742,1280.335816169256,0.03276775,0.06451612903225806,0.06451612903225806,1.0
1450000,1.3400108,24.673521850899743,1284.3604781937545,0.032261103,0.038560411311053984,0.038560411311053984,1.0
1460000,1.3336116,26.87743732590529,1283.0838790202486,0.04759599,0.019498607242339833,0.019498607242339833,1.0
1470000,1.3317717,26.064864864864866,1284.6933574010586,0.07517023,0.016216216216216217,0.016216216216216217,1.0
1480000,1.3320264,25.74331550802139,1280.3026709090655,0.041356802,-0.0213903743315508,-0.0213903743315508,1.0
1490000,1.3308462,25.798927613941018,1278.3515279939106,-0.0034419794,-0.08310991957104558,-0.08310991957104558,1.0
1500000,1.3319756,26.607734806629836,1279.0763202986889,-0.0011146641,-0.027624309392265192,-0.027624309392265192,1.0
1510000,1.3321092,25.777479892761395,1277.1256733252264,0.048111252,0.06166219839142091,0.06166219839142091,1.0
1520000,1.3347986,26.3551912568306,1283.3477849730823,0.017577237,0.0273224043715847,0.0273224043715847,1.0
1530000,1.3310816,27.360795454545453,1280.3942168183096,-0.02297322,-0.056818181818181816,-0.056818181818181816,1.0
1540000,1.333574,27.664756446991404,1282.8615138073149,0.04807043,0.10601719197707736,0.10601719197707736,1.0
1550000,1.3293781,26.37431693989071,1284.0839161544977,-0.027677378,-0.03278688524590164,-0.03278688524590164,1.0
1560000,1.3280673,26.273224043715846,1277.311078135072,-0.026512688,-0.01639344262295082,-0.01639344262295082,1.0
1570000,1.3311365,26.0840108401084,1276.9559322917464,0.037539393,0.013550135501355014,0.013550135501355014,1.0
1580000,1.3322816,26.861495844875346,1285.030384460032,0.033963744,0.044444444444444446,0.044444444444444446,1.0
1590000,1.3314552,26.862745098039216,1289.8383288342372,0.018617332,0.0335195530726257,0.0335195530726257,1.0
1600000,1.3268211,26.545454545454547,1294.810669084795,-0.023317242,0.008264462809917356,0.008264462809917356,1.0
1610000,1.3309512,26.30327868852459,1304.6590681070263,0.027098564,0.13114754098360656,0.13114754098360656,1.0
1620000,1.3288163,27.617142857142856,1308.7017316013962,-0.03981945,-0.02857142857142857,-0.02857142857142857,1.0
1630000,1.3243423,26.3551912568306,1307.7037467560617,0.011570216,-0.03278688524590164,-0.03278688524590164,1.0
1640000,1.3257623,25.83678756476684,1311.8512157525238,0.06361172,0.13136729222520108,0.13136729222520108,1.0
1650000,1.3244444,25.7966573816156,1318.368536006776,0.05283451,0.08602150537634409,0.08602150537634409,1.0
1660000,1.32363,27.400568181818183,1325.0181907760648,0.018145034,0.09090909090909091,0.09090909090909091,1.0
1670000,1.3201429,27.46875,1324.8414640508665,0.034572627,0.0,0.0,1.0
1680000,1.3232422,26.87150837988827,1315.2516777028027,-0.02180136,-0.0670391061452514,-0.0670391061452514,1.0
1690000,1.324542,26.318801089918257,1299.86662786266,-0.006532452,0.013623978201634877,0.013623978201634877,1.0
1700000,1.3217375,27.123595505617978,1292.9159922226384,-0.02674977,0.030985915492957747,0.030985915492957747,1.0
1710000,1.3198792,26.667590027700832,1296.2972242564947,0.029707087,0.03867403314917127,0.03867403314917127,1.0
1720000,1.3210441,28.35,1300.7915287498336,-0.009157801,-0.047058823529411764,-0.047058823529411764,1.0
1730000,1.3166213,28.24561403508772,1303.0276162493965,0.053431727,0.07017543859649122,0.07017543859649122,1.0
1740000,1.3145363,26.805555555555557,1306.4766378235329,0.016927242,-0.027777777777777776,-0.027777777777777776,1.0
1750000,1.3160051,27.548571428571428,1305.4757111006124,0.038628403,0.06285714285714286,0.06285714285714286,1.0
1760000,1.3173224,28.696165191740413,1308.1027412783244,0.027683837,-0.014749262536873156,-0.014749262536873156,1.0
1770000,1.3178724,28.501483679525222,1304.756823757211,0.052548166,0.03857566765578635,0.03857566765578635,1.0
1780000,1.3154947,28.609467455621303,1301.4600188874122,0.0022887746,0.005917159763313609,0.005917159763313609,1.0
1790000,1.3139505,28.04360465116279,1297.140396507399,0.019254655,0.0,0.0,1.0
1800000,1.3125832,28.195906432748536,1300.067768674189,0.046217363,0.05263157894736842,0.05263157894736842,1.0
1810000,1.3135043,27.581196581196583,1311.0455454056453,0.04731535,0.09455587392550144,0.09455587392550144,1.0
1820000,1.3078644,28.272727272727273,1313.8044323719848,0.0040557636,-0.04956268221574344,-0.04956268221574344,1.0
1830000,1.30755,26.821727019498606,1314.4872693345064,0.030397955,0.04735376044568245,0.04735376044568245,1.0
1840000,1.308408,28.75595238095238,1322.9909163473433,-0.003580309,-0.023809523809523808,-0.023809523809523808,1.0
1850000,1.306061,28.571005917159763,1320.1106978968385,0.04128023,0.1242603550295858,0.1242603550295858,1.0
1860000,1.3071007,27.870689655172413,1318.110981769922,0.016537674,0.06321839080459771,0.06321839080459771,1.0
1870000,1.3047165,28.412979351032448,1320.4656807661709,0.008785366,0.02654867256637168,0.02654867256637168,1.0
1880000,1.3100212,27.394886363636363,1324.2893081577922,0.055114843,0.056818181818181816,0.056818181818181816,1.0
1890000,1.306108,27.455840455840455,1318.2265353214118,-0.017687714,-0.037037037037037035,-0.037037037037037035,1.0
1900000,1.3047235,30.252336448598133,1307.781764086632,-0.03261899,-0.06542056074766354,-0.06542056074766354,1.0
1910000,1.3025695,27.815028901734102,1307.08079581794,0.0022925665,0.017341040462427744,0.017341040462427744,1.0
