Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,21.923664122137403,-0.16977513,1.1938814136767706,1.1938814136767706,1.0
24000,1.4173323,24.089770354906054,-0.011193885,1.4052191502366036,1.4052191502366036,1.0
36000,1.4049577,28.80597014925373,0.10058135,1.8815919848816904,1.8815919848816904,1.0
48000,1.3897022,38.5953947368421,0.3037857,2.8516447920548287,2.8516447920548287,1.0
60000,1.3715061,58.29207920792079,0.54215556,4.818317328939344,4.818317328939344,1.0
72000,1.3550333,120.68316831683168,0.9749668,10.8277243281355,10.8277243281355,1.0
84000,1.345625,245.33333333333334,1.3828726,23.73958699653546,23.73958699653546,1.0
96000,1.3322264,472.3333333333333,1.7817578,43.503710402382744,43.503710402382744,1.0
108000,1.3181486,563.8095238095239,2.1696053,55.69524670782543,55.69524670782543,1.0
120000,1.3142788,659.3888888888889,2.3974288,65.55001003212399,65.55001003212399,1.0
132000,1.3046762,979.0,3.033613,97.9083480834961,97.9083480834961,1.0
144000,1.296371,999.0,3.560551,100.00001525878906,100.00001525878906,1.0
156000,1.2913916,999.0,4.12301,100.00001525878906,100.00001525878906,1.0
168000,1.2942208,814.3333333333334,4.529737,81.16667915980021,81.16667915980021,1.0
180000,1.2946281,999.0,4.921497,100.00001525878906,100.00001525878906,1.0
192000,1.2913107,978.1666666666666,5.2948585,97.82501475016277,97.82501475016277,1.0
204000,1.2952635,999.0,5.6468296,100.00001525878906,100.00001525878906,1.0
216000,1.2893282,999.0,5.912594,100.00001525878906,100.00001525878906,1.0
228000,1.2937318,942.8461538461538,6.204554,100.00001525878906,100.00001525878906,1.0
240000,1.290342,999.0,6.428774,94.30001420241136,94.30001420241136,1.0
252000,1.289523,999.0,6.6922984,100.00001525878906,100.00001525878906,1.0
264000,1.2966048,999.0,6.904806,100.00001525878906,100.00001525878906,1.0
276000,1.2959425,998.8,7.104643,99.89168167114258,99.89168167114258,1.0
288000,1.2997382,999.0,7.309112,100.00001525878906,100.00001525878906,1.0
300000,1.2983922,984.5,7.527185,98.45834859212239,98.45834859212239,1.0
312000,1.3002038,999.0,7.7310033,100.00001525878906,100.00001525878906,1.0
324000,1.3010663,999.0,7.9400845,100.00001525878906,100.00001525878906,1.0
336000,1.301402,984.5,8.112287,98.45834859212239,98.45834859212239,1.0
348000,1.3030646,867.8571428571429,8.200238,86.72858473232814,86.72858473232814,1.0
360000,1.3054528,829.7142857142857,8.4319,82.757155418396,82.757155418396,1.0
372000,1.3046178,917.6428571428571,8.533408,91.70715659005302,91.70715659005302,1.0
384000,1.3041649,978.6923076923077,8.757555,97.70834795633952,97.70834795633952,1.0
396000,1.3037199,999.0,8.905947,100.00001525878906,100.00001525878906,1.0
408000,1.3041828,928.3636363636364,9.02443,93.85386100182167,93.85386100182167,1.0
420000,1.3043532,966.8461538461538,9.155999,96.42501449584961,96.42501449584961,1.0
432000,1.3054332,899.6153846153846,9.255982,89.8923213665302,89.8923213665302,1.0
444000,1.3042539,999.0,9.389923,100.00001525878906,100.00001525878906,1.0
456000,1.3045571,999.0,9.50582,100.00001525878906,100.00001525878906,1.0
468000,1.3043255,999.0,9.607192,100.00001525878906,100.00001525878906,1.0
480000,1.3041171,884.4285714285714,9.610209,88.38572791644505,88.38572791644505,1.0
492000,1.3038949,999.0,9.783155,100.00001525878906,100.00001525878906,1.0
